Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a
RDOR3;40,60;22,60;3,66;1,760;2,00%;0,879;2,59;11,07;-4,05;10,77;8,90;15,90%;7,99%;2,89;13,21%;16,22%;182.423.000,00;25.362.500.000,00;1,50;34,55%
RSIP4;0,44;22,70;1,32;0,875;0,00%;0,433;-10,98;9,53;-1,46;18,48;33,21;9,17%;3,85%;0,90;5,00%;5,80%;0,00;66.914.000,00;1,40;15,13%
RSIP3;0,44;22,70;1,32;0,875;0,00%;0,433;-10,98;9,53;-1,46;18,48;33,21;9,17%;3,85%;0,90;5,00%;5,80%;0,00;66.914.000,00;1,40;15,13%
MGEL3;25,00;23,45;6,95;0,144;0,00%;0,201;2,33;1,82;-0,35;8,71;6,86;7,92%;0,61%;1,27;12,49%;29,64%;0,00;20.798.000,00;27,29;5,63%
TVIT3;19,30;23,46;5,45;1,705;0,00%;2,424;175,42;16,02;-12,72;17,14;17,14;10,64%;7,27%;1,04;17,58%;23,24%;0,00;314.984.000,00;0,56;0,00%
TMGC3;1.500,00;23,77;3,05;2,182;0,00%;2,101;12,70;33,47;22,43;32,14;32,14;6,52%;9,18%;1,69;8,73%;12,83%;0,00;1.167.010.000,00;0,05;10,49%
PNVL4;18,62;23,85;2,27;0,543;0,00%;0,842;3,40;14,38;-15,70;19,66;9,19;3,78%;2,28%;1,75;7,69%;9,51%;0,00;1.234.100.000,00;0,99;14,29%
POWE3;10,90;23,92;0,99;0,618;0,00%;0,378;6,57;17,61;-3,01;10,63;10,01;3,51%;2,59%;1,13;3,54%;4,13%;0,00;988.330.000,00;0,04;0,00%
TSEP4;29,01;23,97;1,30;1,282;0,00%;0,906;3,80;14,82;4,43;12,29;12,29;8,65%;5,35%;1,88;9,10%;5,43%;0,00;2.047.020.000,00;0,00;4,50%
HAGA3;1,77;24,22;-0,41;0,730;0,00%;0,314;0,60;-7,76;-0,36;2,74;4,33;-9,41%;3,01%;2,46;-16,18%;-1,70%;5.350,55;-51.172.200,00;-0,41;-9,05%
ELEK3;19,11;24,46;2,66;0,619;0,34%;1,067;3,75;52,11;-110,34;65,77;26,15;1,19%;2,53%;1,94;2,52%;10,87%;0,00;226.327.000,00;0,99;5,69%
MAGS3;62,45;24,49;3,13;2,217;0,00%;2,120;4,90;15,02;6,65;14,19;14,19;14,76%;8,91%;3,06;18,74%;12,78%;0,00;848.546.000,00;0,13;10,05%
VIVT4;45,34;25,08;2,15;2,537;0,00%;1,157;-313,41;17,03;-4,57;18,30;6,71;14,90%;10,10%;0,98;7,98%;8,57%;0,00;68.076.700.000,00;0,30;7,56%
WEGE3;38,43;25,16;7,26;3,938;2,18%;4,049;14,61;18,01;18,73;17,67;16,02;21,86%;16,50%;1,77;28,63%;28,86%;302.778.000,00;22.215.900.000,00;0,12;17,60%
ODER4;100,00;25,17;2,02;1,431;0,61%;1,013;1,99;13,72;5,02;16,54;13,82;10,43%;5,68%;3,69;9,05%;8,01%;0,00;559.560.000,00;0,69;4,87%
ALPA3;9,60;25,24;1,59;1,506;1,01%;1,059;3,89;14,89;6,76;14,48;9,10;10,12%;5,94%;2,25;9,10%;6,29%;77.665,00;4.133.620.000,00;0,17;1,83%
ALPA4;9,62;25,29;1,59;1,509;1,11%;1,061;3,90;14,92;6,78;14,51;9,11;10,12%;5,94%;2,25;9,10%;6,29%;17.692.000,00;4.133.620.000,00;0,17;1,83%
CRUZ3;27,59;25,31;22,46;6,614;0,00%;7,185;62,03;20,74;124,93;20,75;19,27;31,89%;26,13%;1,19;46,80%;88,76%;0,00;1.877.350.000,00;0,63;3,04%
TNLP4;20,36;25,96;0,71;0,344;0,00%;0,125;1,29;3,40;-0,33;9,07;9,07;10,12%;-0,07%;1,48;4,58%;2,72%;0,00;13.736.000.000,00;2,02;15,39%
HGTX4;9,60;26,11;0,92;1,070;0,00%;0,635;1,92;27,10;2,54;28,00;11,15;3,95%;4,10%;2,47;3,00%;3,51%;0,00;1.704.940.000,00;0,12;-4,62%
BRST3;2,90;26,28;0,83;0,820;1,42%;0,310;-9,55;6,07;-0,66;13,95;4,35;13,52%;3,14%;0,83;5,80%;3,14%;574.749,00;1.538.280.000,00;1,30;0,00%
AMBV4;86,80;26,59;8,74;8,027;0,00%;5,253;144,02;20,54;-37,72;20,36;18,35;39,08%;30,76%;1,18;32,43%;32,88%;0,00;31.105.700.000,00;0,10;21,73%
AMBV3;87,00;26,65;8,76;8,045;0,00%;5,266;144,35;20,59;-37,80;20,41;18,39;39,08%;30,76%;1,18;32,43%;32,88%;0,00;31.105.700.000,00;0,10;21,73%
USIM6;8,00;26,65;0,41;0,374;0,00%;0,247;0,73;9,58;2,20;10,46;4,77;3,91%;1,99%;4,16;3,36%;1,55%;0,00;24.277.700.000,00;0,32;-2,27%
RPSA4;4,90;27,33;1,55;5,697;0,00%;0,805;5,09;107,53;-4,50;137,55;137,55;5,30%;20,85%;2,09;0,85%;5,69%;0,00;1.167.980.000,00;0,61;-14,23%
ELET5;78,75;27,41;1,53;4,162;0,00%;0,661;7,85;12,14;-1,71;14,85;11,55;34,27%;15,18%;1,86;6,16%;5,59%;536,93;118.707.000.000,00;0,59;8,87%
RADL3;19,53;27,43;5,03;0,819;1,85%;1,455;8,88;14,21;-10,86;15,52;8,62;5,76%;3,02%;1,40;14,06%;18,34%;193.703.000,00;6.671.830.000,00;0,55;16,80%
SMFT3;24,81;27,93;2,63;2,304;2,55%;0,803;11,95;9,78;-1,68;11,91;5,84;23,55%;8,29%;1,45;9,95%;9,41%;80.074.900,00;5.639.220.000,00;1,06;48,27%
EMBR3;80,70;27,95;3,28;1,501;0,09%;0,907;6,81;13,54;-5,62;14,71;11,09;11,09%;5,26%;1,33;8,42%;11,75%;391.298.000,00;18.191.200.000,00;0,66;12,99%
SEBB11;23,27;28,01;6,44;2,214;0,00%;5,279;24,65;23,96;28,94;23,73;23,73;9,24%;7,40%;2,44;24,15%;23,01%;0,00;145.783.000,00;0,01;50,04%
WDCN3;3,10;28,26;0,31;0,226;6,13%;0,137;0,58;1,18;-2,39;0,39;0,18;19,11%;0,81%;1,90;13,61%;1,08%;604.700,00;644.725.000,00;0,00;-8,21%
TOTS3;42,05;29,33;5,15;4,476;1,59%;2,812;13,80;11,92;-43,61;11,73;10,09;37,57%;15,65%;2,36;31,84%;17,55%;112.269.000,00;4.897.170.000,00;0,35;17,91%
JOPA3;20,11;30,09;0,35;0,103;3,15%;0,094;0,29;3,05;1,61;10,57;8,87;3,37%;0,62%;1,83;4,63%;1,17%;229,46;603.273.000,00;2,02;3,72%
ELCA4;20,20;30,41;9,77;2,274;0,00%;1,337;17,45;11,68;-2,53;15,40;12,25;19,48%;10,15%;1,40;13,81%;32,11%;0,00;4.365.340.000,00;4,00;7,98%
BSCT5;3,50;30,51;2,76;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;9,05%;0,00;212.960.000,00;0,00;1,92%
GPAR3;15,05;31,46;1,49;36,146;0,00%;1,363;4,10;-71,81;5,26;-57,60;-64,85;-50,34%;115,01%;27,17;-2,65%;4,74%;34,20;804.465.000,00;0,01;-51,06%
MOSI3;8,24;32,29;1,56;4,761;0,00%;1,453;1,89;89,69;1,90;42,98;24,91;5,31%;14,75%;13,30;8,12%;4,82%;0,00;670.337.000,00;0,00;0,00%
BRGE6;12,92;32,46;0,72;267,653;4,36%;0,318;0,83;-1,36;1,62;0,92;0,94;-19.636,90%;1.381,29%;3,06;-50,03%;2,21%;0,00;1.324.180.000,00;0,00;-45,61%
LOGN3;27,18;32,59;2,79;1,000;0,00%;0,736;19,94;10,18;-1,59;15,03;7,44;9,83%;3,07%;1,16;8,13%;8,56%;615.535,00;1.045.700.000,00;1,61;22,54%
CREM3;14,50;32,69;2,45;0,685;0,00%;0,670;4,89;8,52;-5,41;12,04;7,07;8,05%;2,10%;1,29;11,36%;7,50%;0,00;189.701.000,00;1,58;-0,27%
BRGE7;13,07;32,83;0,73;270,760;2,51%;0,322;0,84;-1,38;1,63;0,90;0,92;-19.636,90%;1.381,29%;3,06;-50,03%;2,21%;0,00;1.324.180.000,00;0,00;-45,61%
TSEP3;40,00;33,05;1,79;1,768;0,00%;1,250;5,24;20,44;6,11;17,91;17,91;8,65%;5,35%;1,88;9,10%;5,43%;0,00;2.047.020.000,00;0,00;4,50%
BRGE8;13,17;33,08;0,73;272,832;1,78%;0,324;0,85;-1,39;1,65;0,89;0,91;-19.636,90%;1.381,29%;3,06;-50,03%;2,21%;0,00;1.324.180.000,00;0,00;-45,61%
BRGE11;13,18;33,11;0,73;273,039;2,14%;0,325;0,85;-1,39;1,65;0,89;0,91;-19.636,90%;1.381,29%;3,06;-50,03%;2,21%;0,00;1.324.180.000,00;0,00;-45,61%
BRGE5;13,18;33,11;0,73;273,039;0,00%;0,325;0,85;-1,39;1,65;0,89;0,91;-19.636,90%;1.381,29%;3,06;-50,03%;2,21%;0,00;1.324.180.000,00;0,00;-45,61%
ELEK4;26,00;33,27;3,62;0,842;0,25%;1,452;5,10;70,89;-150,12;84,56;33,61;1,19%;2,53%;1,94;2,52%;10,87%;0,00;226.327.000,00;0,99;5,69%
PRGA4;75,00;33,30;7,09;1,867;0,00%;1,857;10,66;16,14;-8,96;16,91;11,44;11,57%;6,14%;1,52;22,01%;21,28%;0,00;16.846.400.000,00;1,23;9,04%
BRGE12;13,47;33,84;0,75;279,047;0,00%;0,332;0,87;-1,42;1,68;0,86;0,88;-19.636,90%;1.381,29%;3,06;-50,03%;2,21%;0,00;1.324.180.000,00;0,00;-45,61%
BRGE3;13,50;33,91;0,75;279,668;0,00%;0,333;0,87;-1,42;1,69;0,86;0,87;-19.636,90%;1.381,29%;3,06;-50,03%;2,21%;0,00;1.324.180.000,00;0,00;-45,61%
CASN3;10,45;34,41;4,78;5,656;0,46%;2,040;34,20;17,80;-5,51;20,86;15,80;31,77%;16,44%;1,42;12,93%;13,88%;0,00;2.517.980.000,00;1,05;16,67%
CTIP3;49,50;35,13;8,76;8,248;0,00%;3,774;-71,28;21,15;-14,32;21,42;18,26;38,99%;23,48%;0,85;24,63%;24,94%;0,00;1.486.250.000,00;0,67;13,43%
TNLP3;27,75;35,39;0,96;0,468;0,00%;0,170;1,76;4,63;-0,45;10,31;10,31;10,12%;-0,07%;1,48;4,58%;2,72%;0,00;13.736.000.000,00;2,02;15,39%
JOPA4;24,00;35,91;0,42;0,123;2,90%;0,113;0,35;3,64;1,92;11,16;9,37;3,37%;0,62%;1,83;4,63%;1,17%;0,00;603.273.000,00;2,02;3,72%
VIGR3;25,00;36,57;2,55;0,763;0,00%;0,899;11,45;12,39;-5,02;15,20;22,95;6,16%;2,28%;1,26;9,06%;6,98%;0,00;1.593.560.000,00;0,84;54,72%
PARD3;20,25;36,76;5,30;2,565;5,22%;2,095;-54,06;17,52;-8,62;18,12;11,99;14,64%;7,00%;0,90;15,26%;14,42%;0,00;1.019.310.000,00;0,53;15,97%
ELCA3;24,70;37,19;11,94;2,781;0,00%;1,635;21,34;14,28;-3,10;18,00;14,32;19,48%;10,15%;1,40;13,81%;32,11%;0,00;4.365.340.000,00;4,00;7,98%
CRIV4;6,74;37,77;0,66;0,000;3,60%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;1,74%;0,00;1.058.750.000,00;0,00;-0,10%
ALSC3;27,75;38,57;2,20;10,717;0,95%;1,202;9,41;19,33;-4,22;17,49;14,08;55,45%;29,30%;5,39;7,03%;5,69%;0,00;2.593.960.000,00;0,00;2,34%
CRIV3;6,98;39,11;0,68;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;1,74%;0,00;1.058.750.000,00;0,00;-0,10%
ELMD3;31,00;39,74;4,53;3,555;0,63%;1,394;10,24;13,53;-4,49;15,97;11,64;26,26%;11,44%;1,76;13,80%;11,40%;0,00;983.781.000,00;1,45;52,68%
RHDS3;0,11;39,98;3,24;0,548;0,00%;0,790;-65,29;7,49;-2,70;10,70;8,06;7,31%;1,17%;0,97;11,80%;8,12%;0,00;272.045.000,00;1,49;4,38%
ESPA3;1,07;40,22;0,44;0,370;0,15%;0,174;1,15;2,59;-1,20;6,80;4,25;14,28%;0,86%;1,48;7,40%;1,10%;432.047,00;871.729.000,00;0,93;10,45%
RAIA3;30,50;41,22;2,98;0,897;0,00%;1,777;4,31;18,18;5,06;16,73;16,73;4,93%;2,18%;2,20;17,80%;7,22%;0,00;635.785.000,00;0,12;0,00%
LCAM3;24,15;41,56;5,61;7,646;0,00%;3,901;14,69;53,23;28,83;50,97;23,21;14,36%;18,50%;6,45;9,59%;13,49%;0,00;10.845.400.000,00;0,06;10,10%
IMCH3;6,39;41,83;0,59;0,336;0,00%;0,289;-9,49;12,28;-0,78;21,16;6,62;2,73%;0,80%;0,82;2,55%;1,40%;0,00;920.589.000,00;0,51;21,04%
HETA3;96,00;42,72;-0,14;11,188;0,00%;4,286;-12,01;12,01;-0,14;91,60;91,60;93,19%;26,19%;0,22;35,83%;-0,33%;0,00;-350.354.000,00;-0,93;20,01%
RAIL3;15,05;43,37;2,09;2,014;5,37%;0,553;8,25;4,92;-0,99;7,58;4,69;40,92%;4,76%;1,62;13,04%;4,81%;233.501.000,00;13.404.700.000,00;1,58;17,53%
PTQS4;189,46;43,43;2,19;4,717;0,00%;1,577;9,89;-7.214,41;-35,73;-7.466,35;-7.466,35;-0,07%;11,37%;3,32;-0,02%;5,04%;0,00;1.714.950.000,00;0,24;56,13%
UOLL4;19,62;43,52;2,35;2,054;0,00%;1,403;457,14;15,14;-12,83;16,49;16,49;13,56%;4,69%;1,01;10,57%;5,40%;0,00;1.003.690.000,00;0,23;21,99%
TELB4;8,40;44,69;0,55;1,861;0,00%;0,205;0,50;-2,84;-1,54;1,70;21,82;-65,56%;4,17%;5,71;-11,80%;1,23%;55.815,00;1.553.870.000,00;0,01;13,86%
TIMS3;23,20;44,80;2,24;8,142;8,00%;0,986;-40,03;32,12;-3,06;30,65;10,17;25,35%;18,17%;0,91;3,72%;4,99%;134.888.000,00;25.125.500.000,00;0,12;-17,71%
LAND3;7,60;44,82;1,00;8,496;0,95%;0,793;-30,46;14,06;-4,63;14,58;13,74;60,43%;18,95%;0,57;5,74%;2,23%;530.722,00;732.067.000,00;0,06;-9,39%
CEGR3;96,49;46,44;13,95;5,007;0,57%;5,558;-47,56;26,00;-14,26;26,71;22,94;19,26%;10,78%;0,64;24,51%;30,04%;219,30;1.795.760.000,00;0,49;10,79%
FLCL6;9,91;47,33;10,66;3,075;0,00%;2,136;-434,66;25,68;-4,19;31,15;31,15;11,97%;6,50%;0,98;9,97%;22,53%;0,00;418.858.000,00;2,79;9,51%
PLTO6;10,47;50,81;692.616,00;0,690;0,00%;0,901;2,90;55,05;-1,55;56,35;56,35;1,25%;1,36%;3,87;1,74%;1.363.200,00%;0,00;1.000,00;21.227,00;8,78%
SULA11;22,25;52,23;1,13;0,432;0,27%;0,314;0,85;-13,07;-4,60;6,62;8,51;-3,30%;0,83%;2,29;-5,62%;2,17%;0,00;8.363.840.000,00;0,37;1,66%
SULA3;7,43;52,32;1,13;0,433;0,27%;0,314;0,85;-13,09;-4,61;6,59;8,48;-3,30%;0,83%;2,29;-5,62%;2,17%;0,00;8.363.840.000,00;0,37;1,66%
PLTO5;10,94;53,09;723.708,00;0,721;0,00%;0,942;3,03;57,52;-1,62;58,82;58,82;1,25%;1,36%;3,87;1,74%;1.363.200,00%;0,00;1.000,00;21.227,00;8,78%
FFTL3;25,00;53,22;2,26;3,410;0,00%;1,508;23,71;20,90;-15,54;20,55;20,55;16,32%;8,16%;1,37;8,91%;4,24%;0,00;6.274.030.000,00;0,07;7,79%
FFTL4;25,06;53,34;2,26;3,418;0,00%;1,512;23,77;20,95;-15,58;20,60;20,60;16,32%;8,16%;1,37;8,91%;4,24%;0,00;6.274.030.000,00;0,07;7,79%
SULA4;7,63;53,73;1,17;0,444;0,26%;0,323;0,88;-13,45;-4,73;6,24;8,02;-3,30%;0,83%;2,29;-5,62%;2,17%;0,00;8.363.840.000,00;0,37;1,66%
FLCL3;11,50;54,92;12,37;3,568;0,00%;2,479;-504,40;29,80;-4,87;35,27;35,27;11,97%;6,50%;0,98;9,97%;22,53%;0,00;418.858.000,00;2,79;9,51%
BSEV3;9,00;56,31;-10,76;0,889;0,00%;0,776;-1,59;4,40;-1,02;7,59;3,70;20,19%;1,58%;0,39;20,66%;-19,12%;0,00;-853.187.000,00;-8,95;7,12%
GVTT3;57,70;57,38;3,68;4,312;0,00%;2,268;21,82;25,92;-18,43;26,65;26,65;16,64%;7,52%;1,66;10,32%;6,42%;0,00;2.150.790.000,00;0,24;31,47%
TELB3;10,94;58,20;0,72;2,424;0,00%;0,267;0,66;-3,70;-2,01;0,84;10,81;-65,56%;4,17%;5,71;-11,80%;1,23%;34.331,90;1.553.870.000,00;0,01;13,86%
CSAB3;30,50;58,43;1,11;312,320;0,00%;0,566;0,00;18,86;0,00;0,00;0,00;1.656,27%;534,53%;0,00;0,00%;1,89%;0,00;211.654.000,00;0,00;-17,83%
AEDU3;18,35;59,34;3,32;4,141;0,00%;2,159;17,00;41,06;-21,55;43,27;29,01;10,08%;6,98%;2,04;5,77%;5,60%;0,00;2.415.400.000,00;0,30;20,90%
FLCL5;12,50;59,70;13,45;3,879;0,00%;2,695;-548,26;32,40;-5,29;37,86;37,86;11,97%;6,50%;0,98;9,97%;22,53%;0,00;418.858.000,00;2,79;9,51%
SUBA3;84,00;61,95;8,39;8,067;0,00%;6,778;8,03;115,78;8,09;106,17;106,17;6,97%;13,02%;5,55;19,11%;13,54%;0,00;530.396.000,00;0,00;0,00%
BRIV4;12,54;70,08;0,66;0,000;2,61%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;0,95%;0,00;1.671.490.000,00;0,00;-44,72%
DAGB33;375,00;71,75;1,60;0,640;0,00%;0,510;15,24;11,87;-1,27;19,35;30,65;5,39%;1,67%;1,17;4,96%;2,24%;0,00;12.597.300.000,00;1,18;32,08%
BRIV3;12,86;71,86;0,68;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;0,95%;0,00;1.671.490.000,00;0,00;-44,72%
PRNR3;14,63;75,54;2,44;0,589;0,29%;0,581;2,00;7,38;-3,15;10,60;6,76;7,98%;2,28%;2,06;10,99%;3,23%;6.924.890,00;340.311.000,00;2,15;42,89%
LWSA3;4,03;75,99;0,83;1,592;3,06%;0,595;10,48;16,56;25,10;14,64;7,35;9,61%;2,09%;1,23;4,00%;1,09%;16.786.400,00;2.754.100.000,00;0,03;22,19%
CTPC3;0,20;76,36;1,08;0,000;0,00%;0,097;0,00;-16,86;0,00;-18,75;-18,75;0,00%;0,00%;0,00;0,00%;1,41%;0,00;2.411.000,00;0,00;-6,10%
QUAL3;2,38;78,64;0,51;0,449;0,23%;0,178;-2,17;1,24;-0,53;2,97;1,82;36,27%;1,11%;0,79;19,65%;0,65%;4.576.630,00;1.312.980.000,00;1,05;-8,20%
RLOG3;23,08;82,76;4,26;1,534;0,00%;0,229;1,49;5,32;-0,50;12,43;6,68;28,85%;7,07%;2,64;5,36%;5,15%;0,00;2.507.240.000,00;9,08;8,76%
MLFT4;22,39;83,21;10,30;34,085;0,00%;4,781;22,47;57,78;-19,63;60,74;50,78;58,99%;40,97%;3,67;10,10%;12,38%;0,00;4.514.230.000,00;0,91;16,16%
CSAB4;48,97;93,81;1,78;501,453;0,00%;0,909;0,00;30,28;0,00;0,00;0,00;1.656,27%;534,53%;0,00;0,00%;1,89%;0,00;211.654.000,00;0,00;-17,83%
HGTX3;37,50;101,99;3,57;4,178;0,00%;2,480;7,50;105,87;9,93;106,77;42,50;3,95%;4,10%;2,47;3,00%;3,51%;0,00;1.704.940.000,00;0,12;-4,62%
PQUN3;15,44;104,31;1,88;0,545;0,00%;0,523;7,57;19,50;-0,97;40,25;40,25;2,80%;0,52%;1,61;3,02%;1,81%;0,00;858.692.000,00;2,28;5,19%
PQUN4;15,44;104,31;1,88;0,545;0,00%;0,523;7,57;19,50;-0,97;40,25;40,25;2,80%;0,52%;1,61;3,02%;1,81%;0,00;858.692.000,00;2,28;5,19%
SRNA3;12,47;106,80;1,44;1,467;0,00%;0,387;48,06;6,04;-0,67;14,27;8,77;24,28%;1,41%;1,06;6,89%;1,35%;55.191.900,00;5.382.920.000,00;2,15;56,65%
TMAR6;42,01;112,59;0,71;0,519;0,00%;0,181;1,49;4,04;-0,50;8,29;3,21;12,84%;-0,42%;1,62;5,78%;0,63%;0,00;20.448.500.000,00;1,38;14,80%
TMAR5;42,67;114,35;0,72;0,527;0,00%;0,184;1,51;4,10;-0,51;8,35;3,24;12,84%;-0,42%;1,62;5,78%;0,63%;0,00;20.448.500.000,00;1,38;14,80%
ORVR3;53,76;117,26;3,68;5,250;0,00%;1,277;6,56;19,31;-4,40;22,93;13,71;27,19%;5,72%;2,36;9,12%;3,14%;26.097.600,00;1.402.850.000,00;1,36;26,84%
NETC3;38,50;123,10;2,12;1,290;0,00%;1,074;-33,02;10,82;-2,96;12,15;5,27;11,93%;1,55%;0,80;10,95%;1,72%;0,00;6.812.390.000,00;0,28;66,63%
NETC4;40,00;127,89;2,20;1,340;0,00%;1,116;-34,31;11,24;-3,08;12,57;5,45;11,93%;1,55%;0,80;10,95%;1,72%;0,00;6.812.390.000,00;0,28;66,63%
FRIO3;209,99;129,01;3,76;0,552;0,00%;0,669;4,47;11,58;-7,61;17,55;10,52;4,77%;0,18%;1,28;8,44%;2,91%;477,25;351.403.000,00;2,33;5,73%
PRBC4;14,54;129,78;36,13;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;27,84%;0,00;1.310.970.000,00;0,00;1,67%
DOTZ3;8,15;140,64;-0,44;0,613;0,00%;0,489;-0,60;7,74;-0,30;11,10;3,67;7,92%;0,44%;0,37;10,98%;-0,31%;92.908,80;-245.402.000,00;-0,40;11,54%
TMAR3;62,00;166,16;1,04;0,765;0,00%;0,268;2,20;5,96;-0,74;10,21;3,96;12,84%;-0,42%;1,62;5,78%;0,63%;0,00;20.448.500.000,00;1,38;14,80%
GUAR4;151,00;183,10;13,64;7,415;0,00%;5,565;27,40;79,42;177,83;80,23;46,06;9,34%;4,05%;1,48;8,47%;7,45%;0,00;5.527.430.000,00;0,36;10,05%
ROMI4;185,00;188,59;14,11;13,203;0,00%;6,869;21,30;235,25;81,22;242,46;128,29;5,61%;7,08%;2,17;3,39%;7,48%;0,00;1.221.270.000,00;0,63;-0,39%
BIDI3;3,40;225,51;1,06;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;0,47%;0,00;8.348.550.000,00;0,00;37,00%
BIDI4;3,41;226,17;1,06;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;0,47%;0,00;8.348.550.000,00;0,00;37,00%
BIDI11;10,40;229,93;1,08;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;0,47%;0,00;8.348.550.000,00;0,00;37,00%
ELEV3;24,30;312,39;3,22;0,688;0,00%;0,954;5,75;37,19;-5,18;51,41;51,41;1,85%;0,27%;1,47;3,01%;1,03%;0,00;489.356.000,00;1,35;3,69%
RHDS4;1,00;363,45;29,50;4,977;0,00%;7,182;-593,56;68,11;-24,55;71,32;53,72;7,31%;1,17%;0,97;11,80%;8,12%;0,00;272.045.000,00;1,49;4,38%
UBBR4;7,49;610,27;1,99;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;0,33%;0,00;10.317.200.000,00;0,00;10,58%
VSTE3;4,63;1.004,49;0,51;0,457;0,03%;0,315;3,70;10,36;-4,55;16,46;3,76;4,41%;0,05%;1,38;3,35%;0,05%;45.432,70;1.045.960.000,00;0,33;11,20%
UBBR11;14,75;1.201,81;3,91;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;0,33%;0,00;10.317.200.000,00;0,00;10,58%
UBBR3;18,00;1.466,61;4,77;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;0,33%;0,00;10.317.200.000,00;0,00;10,58%
BBTG12;3,15;265.986,00;26.598,60;0,000;0,00%;482,733;0,00;-153,84;0,00;-153,84;-153,84;0,00%;0,00%;0,00;0,00%;10,00%;0,00;10.000,00;0,00;0,00%
